time,Long_Channel_Flux
2024-03-24 23:59:59,2.4774129e-06
2024-03-25 00:00:00,2.4667359e-06
2024-03-25 00:00:01,2.4808846e-06
2024-03-25 00:00:02,2.4635203e-06
2024-03-25 00:00:03,2.4789426e-06
2024-03-25 00:00:04,2.4500941e-06
2024-03-25 00:00:05,2.4615783e-06
2024-03-25 00:00:06,2.4564458e-06
2024-03-25 00:00:07,2.487316e-06
2024-03-25 00:00:08,2.4692959e-06
2024-03-25 00:00:09,2.457089e-06
2024-03-25 00:00:10,2.4628898e-06
2024-03-25 00:00:11,2.4635203e-06
2024-03-25 00:00:12,2.4307083e-06
2024-03-25 00:00:13,2.4737976e-06
2024-03-25 00:00:14,2.4609478e-06
2024-03-25 00:00:15,2.438451e-06
2024-03-25 00:00:16,2.4725114e-06
2024-03-25 00:00:17,2.4538733e-06
2024-03-25 00:00:18,2.4596488e-06
2024-03-25 00:00:19,2.4512883e-06
2024-03-25 00:00:20,2.462877e-06
2024-03-25 00:00:21,2.4532303e-06
2024-03-25 00:00:22,2.4770259e-06
2024-03-25 00:00:23,2.4390943e-06
2024-03-25 00:00:24,2.4596616e-06
2024-03-25 00:00:25,2.430065e-06
2024-03-25 00:00:26,2.442297e-06
2024-03-25 00:00:27,2.4532176e-06
2024-03-25 00:00:28,2.4545293e-06
2024-03-25 00:00:29,2.4577448e-06
2024-03-25 00:00:30,2.4564333e-06
2024-03-25 00:00:31,2.4384258e-06
2024-03-25 00:00:32,2.4693084e-06
2024-03-25 00:00:33,2.4455128e-06
2024-03-25 00:00:34,2.447442e-06
2024-03-25 00:00:35,2.4429403e-06
2024-03-25 00:00:36,2.4435833e-06
2024-03-25 00:00:37,2.4403805e-06
2024-03-25 00:00:38,2.460935e-06
2024-03-25 00:00:39,2.467379e-06
2024-03-25 00:00:40,2.4352228e-06
2024-03-25 00:00:41,2.4603173e-06
2024-03-25 00:00:42,2.437808e-06
2024-03-25 00:00:43,2.436092e-06
2024-03-25 00:00:44,2.4416668e-06
2024-03-25 00:00:45,2.4178457e-06
2024-03-25 00:00:46,2.4403678e-06
2024-03-25 00:00:47,2.4435833e-06
2024-03-25 00:00:48,2.4423098e-06
2024-03-25 00:00:49,2.4545166e-06
2024-03-25 00:00:50,2.4217045e-06
2024-03-25 00:00:51,2.4609478e-06
2024-03-25 00:00:52,2.4294472e-06
2024-03-25 00:00:53,2.4442138e-06
2024-03-25 00:00:54,2.4493588e-06
2024-03-25 00:00:55,2.4377825e-06
2024-03-25 00:00:56,2.438451e-06
2024-03-25 00:00:57,2.4564333e-06
2024-03-25 00:00:58,2.4448823e-06
2024-03-25 00:00:59,2.462877e-06
2024-03-25 00:01:00,2.430065e-06
2024-03-25 00:01:01,2.4487283e-06
2024-03-25 00:01:02,2.4339365e-06
2024-03-25 00:01:03,2.4352228e-06
2024-03-25 00:01:04,2.4262315e-06
2024-03-25 00:01:05,2.4480853e-06
2024-03-25 00:01:06,2.4423098e-06
2024-03-25 00:01:07,2.4403678e-06
2024-03-25 00:01:08,2.4397373e-06
2024-03-25 00:01:09,2.4410235e-06
2024-03-25 00:01:10,2.4249453e-06
2024-03-25 00:01:11,2.4480853e-06
2024-03-25 00:01:12,2.4467863e-06
2024-03-25 00:01:13,2.4525746e-06
2024-03-25 00:01:14,2.426862e-06
2024-03-25 00:01:15,2.419132e-06
2024-03-25 00:01:16,2.431364e-06
2024-03-25 00:01:17,2.443596e-06
2024-03-25 00:01:18,2.4274925e-06
2024-03-25 00:01:19,2.405639e-06
2024-03-25 00:01:20,2.4410108e-06
2024-03-25 00:01:21,2.424277e-06
2024-03-25 00:01:22,2.4339365e-06
2024-03-25 00:01:23,2.4249327e-06
2024-03-25 00:01:24,2.447442e-06
2024-03-25 00:01:25,2.415929e-06
2024-03-25 00:01:26,2.4139995e-06
2024-03-25 00:01:27,2.4172277e-06
2024-03-25 00:01:28,2.4468118e-06
2024-03-25 00:01:29,2.4429403e-06
2024-03-25 00:01:30,2.4197877e-06
2024-03-25 00:01:31,2.4435708e-06
2024-03-25 00:01:32,2.4442265e-06
2024-03-25 00:01:33,2.4185015e-06
2024-03-25 00:01:34,2.421717e-06
2024-03-25 00:01:35,2.4390815e-06
2024-03-25 00:01:36,2.4365218e-06
2024-03-25 00:01:37,2.4049957e-06
2024-03-25 00:01:38,2.421717e-06
2024-03-25 00:01:39,2.439712e-06
2024-03-25 00:01:40,2.4339365e-06
2024-03-25 00:01:41,2.410784e-06
2024-03-25 00:01:42,2.4140122e-06
2024-03-25 00:01:43,2.4242895e-06
2024-03-25 00:01:44,2.4223727e-06
2024-03-25 00:01:45,2.4294345e-06
2024-03-25 00:01:46,2.4030664e-06
2024-03-25 00:01:47,2.4300778e-06
2024-03-25 00:01:48,2.4358658e-06
2024-03-25 00:01:49,2.4384258e-06
2024-03-25 00:01:50,2.4120827e-06
2024-03-25 00:01:51,2.4287915e-06
2024-03-25 00:01:52,2.4429403e-06
2024-03-25 00:01:53,2.432663e-06
2024-03-25 00:01:54,2.451944e-06
2024-03-25 00:01:55,2.4313767e-06
2024-03-25 00:01:56,2.4152985e-06
2024-03-25 00:01:57,2.4300903e-06
2024-03-25 00:01:58,2.4248905e-06
2024-03-25 00:01:59,2.4004814e-06
2024-03-25 00:02:00,2.4043402e-06
2024-03-25 00:02:01,2.4172152e-06
2024-03-25 00:02:02,2.4075682e-06
2024-03-25 00:02:03,2.4095102e-06
2024-03-25 00:02:04,2.419775e-06
2024-03-25 00:02:05,2.4235048e-06
2024-03-25 00:02:06,2.4275053e-06
2024-03-25 00:02:07,2.416572e-06
2024-03-25 00:02:08,2.4075557e-06
2024-03-25 00:02:09,2.413344e-06
2024-03-25 00:02:10,2.4172039e-06
2024-03-25 00:02:11,2.4178582e-06
2024-03-25 00:02:12,2.4255758e-06
2024-03-25 00:02:13,2.426862e-06
2024-03-25 00:02:14,2.4377953e-06
2024-03-25 00:02:15,2.421074e-06
2024-03-25 00:02:16,2.4204435e-06
2024-03-25 00:02:17,2.426219e-06
2024-03-25 00:02:18,2.426862e-06
2024-03-25 00:02:19,2.4249327e-06
2024-03-25 00:02:20,2.4352355e-06
2024-03-25 00:02:21,2.4249327e-06
2024-03-25 00:02:22,2.453886e-06
2024-03-25 00:02:23,2.4249453e-06
2024-03-25 00:02:24,2.428804e-06
2024-03-25 00:02:25,2.4300778e-06
2024-03-25 00:02:26,2.448098e-06
2024-03-25 00:02:27,2.4345795e-06
2024-03-25 00:02:28,2.4152985e-06
2024-03-25 00:02:29,2.4551596e-06
2024-03-25 00:02:30,2.410784e-06
2024-03-25 00:02:31,2.4228048e-06
2024-03-25 00:02:32,2.426219e-06
2024-03-25 00:02:33,2.4043527e-06
2024-03-25 00:02:34,2.4281483e-06
2024-03-25 00:02:35,2.4056515e-06
2024-03-25 00:02:36,2.433306e-06
2024-03-25 00:02:37,2.4172025e-06
2024-03-25 00:02:38,2.457089e-06
2024-03-25 00:02:39,2.4371648e-06
2024-03-25 00:02:40,2.4500146e-06
2024-03-25 00:02:41,2.4275053e-06
2024-03-25 00:02:42,2.421717e-06
2024-03-25 00:02:43,2.417871e-06
2024-03-25 00:02:44,2.4127132e-06
2024-03-25 00:02:45,2.423659e-06
2024-03-25 00:02:46,2.432007e-06
2024-03-25 00:02:47,2.4307208e-06
2024-03-25 00:02:48,2.4069252e-06
2024-03-25 00:02:49,2.4069377e-06
2024-03-25 00:02:50,2.4236338e-06
2024-03-25 00:02:51,2.4358785e-06
2024-03-25 00:02:52,2.4275053e-06
2024-03-25 00:02:53,2.4242895e-06
2024-03-25 00:02:54,2.4390815e-06
2024-03-25 00:02:55,2.4043527e-06
2024-03-25 00:02:56,2.4339365e-06
2024-03-25 00:02:57,2.4249453e-06
2024-03-25 00:02:58,2.4030664e-06
2024-03-25 00:02:59,2.4024232e-06
2024-03-25 00:03:00,2.3940502e-06
2024-03-25 00:03:01,2.406282e-06
2024-03-25 00:03:02,2.4242895e-06
2024-03-25 00:03:03,2.3831421e-06
2024-03-25 00:03:04,2.411427e-06
2024-03-25 00:03:05,2.4255633e-06
2024-03-25 00:03:06,2.4397373e-06
2024-03-25 00:03:07,2.407581e-06
2024-03-25 00:03:08,2.440355e-06
2024-03-25 00:03:09,2.4152857e-06
2024-03-25 00:03:10,2.4024107e-06
2024-03-25 00:03:11,2.4088672e-06
2024-03-25 00:03:12,2.4127132e-06
2024-03-25 00:03:13,2.41463e-06
2024-03-25 00:03:14,2.4037095e-06
2024-03-25 00:03:15,2.412726e-06
2024-03-25 00:03:16,2.406282e-06
2024-03-25 00:03:17,2.4120702e-06
2024-03-25 00:03:18,2.4185015e-06
2024-03-25 00:03:19,2.434567e-06
2024-03-25 00:03:20,2.3998507e-06
2024-03-25 00:03:21,2.4191445e-06
2024-03-25 00:03:22,2.4210613e-06
2024-03-25 00:03:23,2.408199e-06
2024-03-25 00:03:24,2.4185015e-06
2024-03-25 00:03:25,2.413344e-06
2024-03-25 00:03:26,2.3766981e-06
2024-03-25 00:03:27,2.405639e-06
2024-03-25 00:03:28,2.3966352e-06
2024-03-25 00:03:29,2.3985772e-06
2024-03-25 00:03:30,2.400494e-06
2024-03-25 00:03:31,2.4011497e-06
2024-03-25 00:03:32,2.4304913e-06
2024-03-25 00:03:33,2.401137e-06
2024-03-25 00:03:34,2.4120702e-06
2024-03-25 00:03:35,2.402436e-06
2024-03-25 00:03:36,2.3947184e-06
2024-03-25 00:03:37,2.4204307e-06
2024-03-25 00:03:38,2.381856e-06
2024-03-25 00:03:39,2.4114145e-06
2024-03-25 00:03:40,2.4294472e-06
2024-03-25 00:03:41,2.3966352e-06
2024-03-25 00:03:42,2.4017927e-06
2024-03-25 00:03:43,2.423659e-06
2024-03-25 00:03:44,2.3753994e-06
2024-03-25 00:03:45,2.4146427e-06
2024-03-25 00:03:46,2.395992e-06
